Index;Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
0;40;0.0231;0.0;6;15;1600;0;421;0;1179;0
1;40;0.0231;0.0;6;21;1600;0;1388;0;212;1
2;40;0.0231;0.0;6;27;1600;0;1516;0;84;1
3;40;0.0231;0.0;6;33;1600;0;1557;0;43;1
4;40;0.0231;0.0;6;39;1600;0;1562;0;38;1
5;40;0.0231;0.0;6;45;1600;0;1589;0;11;1
6;40;0.0231;0.0;6;51;1600;0;1594;0;6;1
7;40;0.0231;0.0;6;57;1600;0;1596;0;4;1
8;40;0.0231;0.0;6;63;1600;0;1593;0;7;1
9;40;0.0231;0.0;6;69;1600;0;1599;0;1;1
0;40;0.0232;0.0;6;15;1600;0;421;0;1179;0
1;40;0.0232;0.0;6;21;1600;0;1356;0;244;1
2;40;0.0232;0.0;6;27;1600;0;1457;0;143;1
3;40;0.0232;0.0;6;33;1600;0;1541;0;59;1
4;40;0.0232;0.0;6;39;1600;0;1575;0;25;1
5;40;0.0232;0.0;6;45;1600;0;1589;0;11;1
6;40;0.0232;0.0;6;51;1600;0;1594;0;6;1
7;40;0.0232;0.0;6;57;1600;0;1594;0;6;1
8;40;0.0232;0.0;6;63;1600;0;1599;0;1;1
9;40;0.0232;0.0;6;69;1600;0;1599;0;1;1
0;40;0.0233;0.0;6;15;1600;0;534;0;1066;0
1;40;0.0233;0.0;6;21;1600;0;1302;0;298;1
2;40;0.0233;0.0;6;27;1600;0;1485;0;115;1
3;40;0.0233;0.0;6;33;1600;0;1558;0;42;1
4;40;0.0233;0.0;6;39;1600;0;1574;0;26;1
5;40;0.0233;0.0;6;45;1600;0;1585;0;15;1
6;40;0.0233;0.0;6;51;1600;0;1593;0;7;1
7;40;0.0233;0.0;6;57;1600;0;1595;0;5;1
8;40;0.0233;0.0;6;63;1600;0;1596;0;4;1
9;40;0.0233;0.0;6;69;1600;0;1595;0;5;1
0;40;0.0234;0.0;6;15;1600;0;387;0;1213;0
1;40;0.0234;0.0;6;21;1600;0;1384;0;216;1
2;40;0.0234;0.0;6;27;1600;0;1501;0;99;1
3;40;0.0234;0.0;6;33;1600;0;1555;0;45;1
4;40;0.0234;0.0;6;39;1600;0;1586;0;14;1
5;40;0.0234;0.0;6;45;1600;0;1588;0;12;1
6;40;0.0234;0.0;6;51;1600;0;1591;0;9;1
7;40;0.0234;0.0;6;57;1600;0;1592;0;8;1
8;40;0.0234;0.0;6;63;1600;0;1598;0;2;1
9;40;0.0234;0.0;6;69;1600;0;1597;0;3;1
0;40;0.0235;0.0;6;15;1600;0;399;0;1201;0
1;40;0.0235;0.0;6;21;1600;0;1403;0;197;1
2;40;0.0235;0.0;6;27;1600;0;1519;0;81;1
3;40;0.0235;0.0;6;33;1600;0;1534;0;66;1
4;40;0.0235;0.0;6;39;1600;0;1575;0;25;1
5;40;0.0235;0.0;6;45;1600;0;1587;0;13;1
6;40;0.0235;0.0;6;51;1600;0;1587;0;13;1
7;40;0.0235;0.0;6;57;1600;0;1594;0;6;1
8;40;0.0235;0.0;6;63;1600;0;1593;0;7;1
9;40;0.0235;0.0;6;69;1600;0;1595;0;5;1
0;40;0.0236;0.0;6;15;1600;0;752;0;848;0
1;40;0.0236;0.0;6;21;1600;0;1395;0;205;1
2;40;0.0236;0.0;6;27;1600;0;1541;0;59;1
3;40;0.0236;0.0;6;33;1600;0;1510;0;90;1
4;40;0.0236;0.0;6;39;1600;0;1567;0;33;1
5;40;0.0236;0.0;6;45;1600;0;1582;0;18;1
6;40;0.0236;0.0;6;51;1600;0;1591;0;9;1
7;40;0.0236;0.0;6;57;1600;0;1595;0;5;1
8;40;0.0236;0.0;6;63;1600;0;1595;0;5;1
9;40;0.0236;0.0;6;69;1600;0;1598;0;2;1
0;40;0.0237;0.0;6;15;1600;0;678;0;922;0
1;40;0.0237;0.0;6;21;1600;0;1391;0;209;1
2;40;0.0237;0.0;6;27;1600;0;1527;0;73;1
3;40;0.0237;0.0;6;33;1600;0;1552;0;48;1
4;40;0.0237;0.0;6;39;1600;0;1573;0;27;1
5;40;0.0237;0.0;6;45;1600;0;1594;0;6;1
6;40;0.0237;0.0;6;51;1600;0;1592;0;8;1
7;40;0.0237;0.0;6;57;1600;0;1596;0;4;1
8;40;0.0237;0.0;6;63;1600;0;1600;0;0;1
9;40;0.0237;0.0;6;69;1600;0;1596;0;4;1
0;40;0.0238;0.0;6;15;1600;0;500;0;1100;0
1;40;0.0238;0.0;6;21;1600;0;1392;0;208;1
2;40;0.0238;0.0;6;27;1600;0;1507;0;93;1
3;40;0.0238;0.0;6;33;1600;0;1568;0;32;1
4;40;0.0238;0.0;6;39;1600;0;1569;0;31;1
5;40;0.0238;0.0;6;45;1600;0;1588;0;12;1
6;40;0.0238;0.0;6;51;1600;0;1589;0;11;1
7;40;0.0238;0.0;6;57;1600;0;1596;0;4;1
8;40;0.0238;0.0;6;63;1600;0;1599;0;1;1
9;40;0.0238;0.0;6;69;1600;0;1598;0;2;1
0;40;0.0239;0.0;6;15;1600;0;445;0;1155;0
1;40;0.0239;0.0;6;21;1600;0;1391;0;209;1
2;40;0.0239;0.0;6;27;1600;0;1474;0;126;1
3;40;0.0239;0.0;6;33;1600;0;1555;0;45;1
4;40;0.0239;0.0;6;39;1600;0;1572;0;28;1
5;40;0.0239;0.0;6;45;1600;0;1594;0;6;1
6;40;0.0239;0.0;6;51;1600;0;1584;0;16;1
7;40;0.0239;0.0;6;57;1600;0;1596;0;4;1
8;40;0.0239;0.0;6;63;1600;0;1599;0;1;1
9;40;0.0239;0.0;6;69;1600;0;1599;0;1;1
0;40;0.024;0.0;6;15;1600;0;550;0;1050;0
1;40;0.024;0.0;6;21;1600;0;1273;0;327;1
2;40;0.024;0.0;6;27;1600;0;1466;0;134;1
3;40;0.024;0.0;6;33;1600;0;1556;0;44;1
4;40;0.024;0.0;6;39;1600;0;1568;0;32;1
5;40;0.024;0.0;6;45;1600;0;1574;0;26;1
6;40;0.024;0.0;6;51;1600;0;1592;0;8;1
7;40;0.024;0.0;6;57;1600;0;1597;0;3;1
8;40;0.024;0.0;6;63;1600;0;1596;0;4;1
9;40;0.024;0.0;6;69;1600;0;1599;0;1;1
0;40;0.0241;0.0;6;15;1600;0;550;0;1050;0
1;40;0.0241;0.0;6;21;1600;0;1409;0;191;1
2;40;0.0241;0.0;6;27;1600;0;1533;0;67;1
3;40;0.0241;0.0;6;33;1600;0;1530;0;70;1
4;40;0.0241;0.0;6;39;1600;0;1583;0;17;1
5;40;0.0241;0.0;6;45;1600;0;1590;0;10;1
6;40;0.0241;0.0;6;51;1600;0;1593;0;7;1
7;40;0.0241;0.0;6;57;1600;0;1598;0;2;1
8;40;0.0241;0.0;6;63;1600;0;1598;0;2;1
9;40;0.0241;0.0;6;69;1600;0;1599;0;1;1
0;40;0.0242;0.0;6;15;1600;0;794;0;806;0
1;40;0.0242;0.0;6;21;1600;0;1410;0;190;1
2;40;0.0242;0.0;6;27;1600;0;1509;0;91;1
3;40;0.0242;0.0;6;33;1600;0;1563;0;37;1
4;40;0.0242;0.0;6;39;1600;0;1578;0;22;1
5;40;0.0242;0.0;6;45;1600;0;1584;0;16;1
6;40;0.0242;0.0;6;51;1600;0;1594;0;6;1
7;40;0.0242;0.0;6;57;1600;0;1592;0;8;1
8;40;0.0242;0.0;6;63;1600;0;1596;0;4;1
9;40;0.0242;0.0;6;69;1600;0;1599;0;1;1
0;40;0.0243;0.0;6;15;1600;0;685;0;915;0
1;40;0.0243;0.0;6;21;1600;0;1417;0;183;1
2;40;0.0243;0.0;6;27;1600;0;1540;0;60;1
3;40;0.0243;0.0;6;33;1600;0;1550;0;50;1
4;40;0.0243;0.0;6;39;1600;0;1577;0;23;1
5;40;0.0243;0.0;6;45;1600;0;1583;0;17;1
6;40;0.0243;0.0;6;51;1600;0;1596;0;4;1
7;40;0.0243;0.0;6;57;1600;0;1595;0;5;1
8;40;0.0243;0.0;6;63;1600;0;1598;0;2;1
9;40;0.0243;0.0;6;69;1600;0;1599;0;1;1
0;40;0.0244;0.0;6;15;1600;0;820;0;780;1
1;40;0.0244;0.0;6;21;1600;0;1439;0;161;1
2;40;0.0244;0.0;6;27;1600;0;1525;0;75;1
